data_date,crawl_date,crawl_url,adsAge,jobs,Vollzeit,Festanstellung,Teilzeit,Befristet,Minijob,Freie Mitarbeit,Ausbildung,Praktikum,Werkvertrag,Auf Kommission,München,Berlin,Hamburg,Hannover,Mannheim,Frankfurt am Main,Düsseldorf,Köln,Bonn,Stuttgart,Braunschweig,Bremen,Leipzig,Dortmund,Oranienburg,company0,company0Ads,company1,company1Ads,company2,company2Ads,company3,company3Ads,company4,company4Ads,company5,company5Ads,company6,company6Ads,company7,company7Ads,company8,company8Ads,company9,company9Ads,company10,company10Ads,company11,company11Ads,company12,company12Ads,company13,company13Ads,company14,company14Ads,Deutsch,English,Nederlands,čeština,español,Dresden,français,Português,Nürnberg,Halle (Saale),Duisburg,Polski,Essen,italiano,jobs_lastday,dtd_jobs,Vollzeit_lastday,dtd_Vollzeit,Festanstellung_lastday,dtd_Festanstellung,Teilzeit_lastday,dtd_Teilzeit,Befristet_lastday,dtd_Befristet,Minijob_lastday,dtd_Minijob,Freie Mitarbeit_lastday,dtd_Freie Mitarbeit,Ausbildung_lastday,dtd_Ausbildung,Praktikum_lastday,dtd_Praktikum,Werkvertrag_lastday,dtd_Werkvertrag,Auf Kommission_lastday,dtd_Auf Kommission,München_lastday,dtd_München,Berlin_lastday,dtd_Berlin,Hamburg_lastday,dtd_Hamburg,Hannover_lastday,dtd_Hannover,Mannheim_lastday,dtd_Mannheim,Frankfurt am Main_lastday,dtd_Frankfurt am Main,Düsseldorf_lastday,dtd_Düsseldorf,Köln_lastday,dtd_Köln,Bonn_lastday,dtd_Bonn,Stuttgart_lastday,dtd_Stuttgart,Braunschweig_lastday,dtd_Braunschweig,Bremen_lastday,dtd_Bremen,Leipzig_lastday,dtd_Leipzig,Dortmund_lastday,dtd_Dortmund,Oranienburg_lastday,dtd_Oranienburg,Deutsch_lastday,dtd_Deutsch,English_lastday,dtd_English,Nederlands_lastday,dtd_Nederlands,čeština_lastday,dtd_čeština,español_lastday,dtd_español,Dresden_lastday,dtd_Dresden,français_lastday,dtd_français,Português_lastday,dtd_Português,Nürnberg_lastday,dtd_Nürnberg,Halle (Saale)_lastday,dtd_Halle (Saale),Duisburg_lastday,dtd_Duisburg,Polski_lastday,dtd_Polski,Essen_lastday,dtd_Essen,italiano_lastday,dtd_italiano
2020-04-29,2020-05-18 11:46:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=20&limit=10&sort=&psf=advsrch&from=advancedsearch,20,129114,43954,15619,19836,4143,2536,1430,1542,1033,536,149,5467,7574,5381,1634,1104.0,2507,2095,2592,,1859,,1530.0,1587,,,ACTIEF Personalmanagement GmbH,2734,Amadeus FiRe,2418,I.K. Hofmann GmbH,2112,Brunel,1787,Deutsche Post DHL Group,1463,DEKRA Arbeit Gruppe,1390,DIS AG,1296,Runtime,1276,Randstad,935,Hera Med GmbH,931,akut...Medizinische Personallogistik GmbH,922,BANKPOWER GmbH,854,Lidl,776,Orizon GmbH,766,PRIOMED GmbH,748,125887,2947,40,,,1704.0,50.0,,1719.0,,,77.0,1157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,2020-05-18 11:46:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=19&limit=10&sort=&psf=advsrch&from=advancedsearch,19,122708,41675,14832,18752,3957,2415,1375,1472,983,491,145,5213,7122,5200,1555,1072.0,2380,1969,2486,,1758,,1475.0,1513,,,ACTIEF Personalmanagement GmbH,2529,Amadeus FiRe,2418,I.K. Hofmann GmbH,2039,Brunel,1787,Deutsche Post DHL Group,1463,DEKRA Arbeit Gruppe,1282,Runtime,1276,DIS AG,1183,Hera Med GmbH,931,akut...Medizinische Personallogistik GmbH,887,Randstad,866,BANKPOWER GmbH,810,PRIOMED GmbH,748,Orizon GmbH,698,All.medi Personallogistik GmbH,686,119669,2774,39,,,1642.0,50.0,,1608.0,,,73.0,1109.0,,129114.0,6406.0,43954.0,2279.0,15619.0,787.0,19836.0,1084.0,4143.0,186.0,2536.0,121.0,1430.0,55.0,1542.0,70.0,1033.0,50.0,536.0,45.0,149.0,4.0,5467.0,254.0,7574.0,452.0,5381.0,181.0,1634.0,79.0,1104.0,32.0,2507.0,127.0,2095.0,126.0,2592.0,106.0,,,1859.0,101.0,,,1530.0,55.0,1587.0,74.0,,,,,125887.0,6218.0,2947.0,173.0,40.0,1.0,,,,,1704.0,62.0,50.0,0.0,,,1719.0,111.0,,,,,77.0,4.0,1157.0,48.0,,
2020-05-01,2020-05-18 11:46:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=18&limit=10&sort=&psf=advsrch&from=advancedsearch,18,116491,39458,14065,17779,3795,2317,1299,1380,928,457,139,4898,6743,4928,1484,1013.0,2247,1877,2291,,1689,,1441.0,1453,,,ACTIEF Personalmanagement GmbH,2502,Amadeus FiRe,2418,I.K. Hofmann GmbH,1888,Brunel,1787,Deutsche Post DHL Group,1463,Runtime,1276,DEKRA Arbeit Gruppe,1153,DIS AG,1101,Hera Med GmbH,931,akut...Medizinische Personallogistik GmbH,879,Randstad,822,BANKPOWER GmbH,777,PRIOMED GmbH,748,All.medi Personallogistik GmbH,684,TEMPTON,621,113633,2608,36,,,1583.0,49.0,,1539.0,,,73.0,1047.0,,122708.0,6217.0,41675.0,2217.0,14832.0,767.0,18752.0,973.0,3957.0,162.0,2415.0,98.0,1375.0,76.0,1472.0,92.0,983.0,55.0,491.0,34.0,145.0,6.0,5213.0,315.0,7122.0,379.0,5200.0,272.0,1555.0,71.0,1072.0,59.0,2380.0,133.0,1969.0,92.0,2486.0,195.0,,,1758.0,69.0,,,1475.0,34.0,1513.0,60.0,,,,,119669.0,6036.0,2774.0,166.0,39.0,3.0,,,,,1642.0,59.0,50.0,1.0,,,1608.0,69.0,,,,,73.0,0.0,1109.0,62.0,,
2020-05-02,2020-05-18 11:46:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=17&limit=10&sort=&psf=advsrch&from=advancedsearch,17,109190,37041,13139,16744,3576,2218,1227,1295,860,426,133,4577,6375,4684,1400,968.0,2102,1765,2109,,1554,,1375.0,1376,,,ACTIEF Personalmanagement GmbH,2426,Amadeus FiRe,2418,Brunel,1787,I.K. Hofmann GmbH,1694,Deutsche Post DHL Group,1463,Runtime,1261,DEKRA Arbeit Gruppe,1100,DIS AG,996,Hera Med GmbH,931,akut...Medizinische Personallogistik GmbH,838,Randstad,781,PRIOMED GmbH,748,BANKPOWER GmbH,711,All.medi Personallogistik GmbH,684,TEMPTON,599,106530,2423,36,,,1461.0,46.0,,1441.0,,,70.0,983.0,,116491.0,7301.0,39458.0,2417.0,14065.0,926.0,17779.0,1035.0,3795.0,219.0,2317.0,99.0,1299.0,72.0,1380.0,85.0,928.0,68.0,457.0,31.0,139.0,6.0,4898.0,321.0,6743.0,368.0,4928.0,244.0,1484.0,84.0,1013.0,45.0,2247.0,145.0,1877.0,112.0,2291.0,182.0,,,1689.0,135.0,,,1441.0,66.0,1453.0,77.0,,,,,113633.0,7103.0,2608.0,185.0,36.0,0.0,,,,,1583.0,122.0,49.0,3.0,,,1539.0,98.0,,,,,73.0,3.0,1047.0,64.0,,
2020-05-03,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=16&limit=10&sort=&psf=advsrch&from=advancedsearch,16,107364,36408,13048,16494,3564,2200,1182,1255,836,415,127,4502,6240,4488,1379,957.0,2058,1734,2087,,1531,,1361.0,1346,,,Amadeus FiRe,2418,ACTIEF Personalmanagement GmbH,2358,Brunel,1787,I.K. Hofmann GmbH,1694,Deutsche Post DHL Group,1463,Runtime,1260,DEKRA Arbeit Gruppe,1044,DIS AG,949,Hera Med GmbH,931,akut...Medizinische Personallogistik GmbH,838,Randstad,771,PRIOMED GmbH,748,BANKPOWER GmbH,711,All.medi Personallogistik GmbH,684,TEMPTON,599,104775,2355,34,,,1440.0,46.0,,1423.0,,,70.0,974.0,,109190.0,1826.0,37041.0,633.0,13139.0,91.0,16744.0,250.0,3576.0,12.0,2218.0,18.0,1227.0,45.0,1295.0,40.0,860.0,24.0,426.0,11.0,133.0,6.0,4577.0,75.0,6375.0,135.0,4684.0,196.0,1400.0,21.0,968.0,11.0,2102.0,44.0,1765.0,31.0,2109.0,22.0,,,1554.0,23.0,,,1375.0,14.0,1376.0,30.0,,,,,106530.0,1755.0,2423.0,68.0,36.0,2.0,,,,,1461.0,21.0,46.0,0.0,,,1441.0,18.0,,,,,70.0,0.0,983.0,9.0,,
2020-05-04,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=15&limit=10&sort=&psf=advsrch&from=advancedsearch,15,105597,36117,12965,16392,3558,2178,1143,1242,820,411,127,4414,6179,4450,1294,,2041,1704,2059,,1505,,1305.0,1320,911.0,,Amadeus FiRe,2418,ACTIEF Personalmanagement GmbH,2358,I.K. Hofmann GmbH,1694,Deutsche Post DHL Group,1463,Runtime,1260,DEKRA Arbeit Gruppe,1042,Hera Med GmbH,931,DIS AG,926,Brunel,896,akut...Medizinische Personallogistik GmbH,838,Randstad,753,PRIOMED GmbH,747,BANKPOWER GmbH,711,All.medi Personallogistik GmbH,684,TEMPTON,598,103033,2331,34,,,1425.0,46.0,,1416.0,,,70.0,969.0,,107364.0,1767.0,36408.0,291.0,13048.0,83.0,16494.0,102.0,3564.0,6.0,2200.0,22.0,1182.0,39.0,1255.0,13.0,836.0,16.0,415.0,4.0,127.0,0.0,4502.0,88.0,6240.0,61.0,4488.0,38.0,1379.0,85.0,957.0,,2058.0,17.0,1734.0,30.0,2087.0,28.0,,,1531.0,26.0,,,1361.0,56.0,1346.0,26.0,,,,,104775.0,1742.0,2355.0,24.0,34.0,0.0,,,,,1440.0,15.0,46.0,0.0,,,1423.0,7.0,,,,,70.0,0.0,974.0,5.0,,
2020-05-05,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=14&limit=10&sort=&psf=advsrch&from=advancedsearch,14,104471,35809,12875,16220,3543,2155,1093,1232,800,405,123,4372,6084,4405,1272,,2013,1673,2039,,1471,,1298.0,1312,901.0,,ACTIEF Personalmanagement GmbH,2358,Amadeus FiRe,2321,I.K. Hofmann GmbH,1687,Deutsche Post DHL Group,1463,Runtime,1258,DEKRA Arbeit Gruppe,1041,Hera Med GmbH,931,DIS AG,916,Brunel,896,akut...Medizinische Personallogistik GmbH,838,Randstad,729,PRIOMED GmbH,724,BANKPOWER GmbH,710,All.medi Personallogistik GmbH,684,TEMPTON,596,101947,2292,34,,,1410.0,45.0,,1411.0,,,70.0,955.0,,105597.0,1126.0,36117.0,308.0,12965.0,90.0,16392.0,172.0,3558.0,15.0,2178.0,23.0,1143.0,50.0,1242.0,10.0,820.0,20.0,411.0,6.0,127.0,4.0,4414.0,42.0,6179.0,95.0,4450.0,45.0,1294.0,22.0,,,2041.0,28.0,1704.0,31.0,2059.0,20.0,,,1505.0,34.0,,,1305.0,7.0,1320.0,8.0,911.0,10.0,,,103033.0,1086.0,2331.0,39.0,34.0,0.0,,,,,1425.0,15.0,46.0,1.0,,,1416.0,5.0,,,,,70.0,0.0,969.0,14.0,,
2020-05-06,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=13&limit=10&sort=&psf=advsrch&from=advancedsearch,13,96923,33157,11782,15055,3355,2012,1016,1102,732,369,104,3993,5622,4136,1193,,1833,1550,1920,,1355,,1207.0,1188,864.0,,ACTIEF Personalmanagement GmbH,2214,Amadeus FiRe,2133,I.K. Hofmann GmbH,1617,Deutsche Post DHL Group,1463,Runtime,1074,DEKRA Arbeit Gruppe,1005,Hera Med GmbH,931,Brunel,896,DIS AG,836,akut...Medizinische Personallogistik GmbH,802,PRIOMED GmbH,721,BANKPOWER GmbH,685,Randstad,685,All.medi Personallogistik GmbH,682,TEMPTON,577,94581,2122,34,,,1316.0,43.0,,1301.0,,,63.0,892.0,,104471.0,7548.0,35809.0,2652.0,12875.0,1093.0,16220.0,1165.0,3543.0,188.0,2155.0,143.0,1093.0,77.0,1232.0,130.0,800.0,68.0,405.0,36.0,123.0,19.0,4372.0,379.0,6084.0,462.0,4405.0,269.0,1272.0,79.0,,,2013.0,180.0,1673.0,123.0,2039.0,119.0,,,1471.0,116.0,,,1298.0,91.0,1312.0,124.0,901.0,37.0,,,101947.0,7366.0,2292.0,170.0,34.0,0.0,,,,,1410.0,94.0,45.0,2.0,,,1411.0,110.0,,,,,70.0,7.0,955.0,63.0,,
2020-05-07,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=12&limit=10&sort=&psf=advsrch&from=advancedsearch,12,88971,30265,10860,13838,2631,1847,945,1011,656,331,99,3737,5195,3812,1127,,1675,1435,1747,,1228,,1143.0,1073,786.0,,ACTIEF Personalmanagement GmbH,2008,Amadeus FiRe,1994,I.K. Hofmann GmbH,1525,Runtime,956,DEKRA Arbeit Gruppe,952,Hera Med GmbH,931,Brunel,896,akut...Medizinische Personallogistik GmbH,802,DIS AG,740,PRIOMED GmbH,719,All.medi Personallogistik GmbH,682,BANKPOWER GmbH,667,Randstad,638,Promedis24,573,Allianz,572,86879,1902,34,,,1232.0,36.0,,1188.0,,,48.0,832.0,,96923.0,7952.0,33157.0,2892.0,11782.0,922.0,15055.0,1217.0,3355.0,724.0,2012.0,165.0,1016.0,71.0,1102.0,91.0,732.0,76.0,369.0,38.0,104.0,5.0,3993.0,256.0,5622.0,427.0,4136.0,324.0,1193.0,66.0,,,1833.0,158.0,1550.0,115.0,1920.0,173.0,,,1355.0,127.0,,,1207.0,64.0,1188.0,115.0,864.0,78.0,,,94581.0,7702.0,2122.0,220.0,34.0,0.0,,,,,1316.0,84.0,43.0,7.0,,,1301.0,113.0,,,,,63.0,15.0,892.0,60.0,,
2020-05-08,2020-05-18 11:45:00,https://de.indeed.com/Jobs?as_and=&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&st=&as_src=&radius=25&l=Deutschland&fromage=11&limit=10&sort=&psf=advsrch&from=advancedsearch,11,81309,27460,9879,12508,2418,1710,861,877,600,303,95,3391,4705,3472,1061,,1527,1316,1614,,1107,,1047.0,1008,734.0,,ACTIEF Personalmanagement GmbH,1906,Amadeus FiRe,1878,I.K. Hofmann GmbH,1429,Hera Med GmbH,931,Brunel,896,Runtime,867,DEKRA Arbeit Gruppe,803,akut...Medizinische Personallogistik GmbH,802,PRIOMED GmbH,712,All.medi Personallogistik GmbH,664,DIS AG,629,Promedis24,573,Allianz,569,Randstad,564,EXPERTS & TALENTS GmbH,551,79419,1720,30,,,1122.0,30.0,,1106.0,,,43.0,740.0,,88971.0,7662.0,30265.0,2805.0,10860.0,981.0,13838.0,1330.0,2631.0,213.0,1847.0,137.0,945.0,84.0,1011.0,134.0,656.0,56.0,331.0,28.0,99.0,4.0,3737.0,346.0,5195.0,490.0,3812.0,340.0,1127.0,66.0,,,1675.0,148.0,1435.0,119.0,1747.0,133.0,,,1228.0,121.0,,,1143.0,96.0,1073.0,65.0,786.0,52.0,,,86879.0,7460.0,1902.0,182.0,34.0,4.0,,,,,1232.0,110.0,36.0,6.0,,,1188.0,82.0,,,,,48.0,5.0,832.0,92.0,,
